#composite1.txt

This is a composite albedo based on the surface fractions for an Earth model run for the 03.19.2008 EPOXI/Earth data model comparison (Earth at spring equinox, based on an equatorial view). The Earth model give the surface fraction of each component type (including clouds) for each simulated observation. The clouds were removed and the surface type renormalized so that the total fraction summed to 1. The resulting surface component fractions are: 65.6% seawater, 4% conifer forest, 13.6% grassland/brush, 5.5% soil/desert, and 11.3% snow/ice. For a version that does not include vegetation (forest/grassland) see composite2.txt. Prepared by E. Schwieterman on 7/26/2016. 

Wl[um] Alb
----------
0.001 0.000
0.005 0.000
0.100 0.000
0.213 0.027
0.221 0.027
0.229 0.027
0.236 0.027
0.242 0.027
0.248 0.027
0.254 0.027
0.259 0.027
0.264 0.027
0.269 0.027
0.273 0.026
0.277 0.028
0.281 0.027
0.285 0.027
0.289 0.028
0.293 0.028
0.297 0.028
0.301 0.028
0.305 0.030
0.309 0.031
0.313 0.032
0.317 0.032
0.321 0.032
0.325 0.032
0.329 0.033
0.333 0.033
0.337 0.035
0.341 0.035
0.345 0.034
0.349 0.035
0.353 0.036
0.357 0.037
0.361 0.037
0.364 0.037
0.367 0.038
0.370 0.038
0.373 0.038
0.376 0.038
0.379 0.039
0.381 0.039
0.383 0.039
0.385 0.040
0.387 0.040
0.389 0.041
0.391 0.041
0.393 0.042
0.395 0.042
0.397 0.043
0.399 0.043
0.401 0.044
0.403 0.045
0.405 0.045
0.407 0.046
0.409 0.047
0.411 0.047
0.413 0.048
0.416 0.049
0.419 0.050
0.422 0.050
0.425 0.051
0.428 0.052
0.431 0.053
0.434 0.053
0.437 0.054
0.440 0.054
0.443 0.055
0.446 0.055
0.449 0.056
0.451 0.057
0.453 0.057
0.455 0.058
0.457 0.058
0.459 0.058
0.461 0.058
0.463 0.059
0.465 0.059
0.467 0.060
0.469 0.060
0.471 0.060
0.473 0.060
0.475 0.060
0.477 0.060
0.479 0.061
0.481 0.061
0.483 0.061
0.485 0.061
0.487 0.061
0.489 0.061
0.491 0.061
0.493 0.060
0.495 0.061
0.497 0.060
0.499 0.060
0.501 0.060
0.503 0.060
0.505 0.060
0.507 0.061
0.509 0.061
0.511 0.061
0.513 0.062
0.515 0.062
0.517 0.063
0.519 0.064
0.521 0.065
0.523 0.066
0.525 0.067
0.527 0.068
0.529 0.068
0.531 0.069
0.533 0.069
0.535 0.070
0.537 0.070
0.539 0.071
0.541 0.071
0.543 0.071
0.545 0.071
0.547 0.072
0.549 0.071
0.551 0.072
0.553 0.072
0.555 0.072
0.557 0.072
0.559 0.072
0.561 0.072
0.563 0.071
0.565 0.071
0.567 0.071
0.569 0.070
0.571 0.070
0.573 0.069
0.575 0.069
0.577 0.069
0.579 0.069
0.581 0.068
0.583 0.068
0.585 0.068
0.587 0.068
0.589 0.068
0.591 0.068
0.593 0.068
0.595 0.068
0.597 0.067
0.599 0.068
0.601 0.068
0.603 0.068
0.604 0.068
0.606 0.068
0.608 0.068
0.609 0.068
0.611 0.067
0.612 0.068
0.614 0.068
0.616 0.068
0.617 0.067
0.619 0.068
0.620 0.068
0.622 0.068
0.624 0.068
0.625 0.068
0.627 0.068
0.628 0.068
0.630 0.068
0.632 0.068
0.634 0.068
0.636 0.068
0.638 0.069
0.640 0.068
0.642 0.068
0.644 0.068
0.646 0.068
0.648 0.068
0.650 0.068
0.652 0.068
0.654 0.068
0.656 0.068
0.658 0.068
0.660 0.069
0.662 0.068
0.664 0.068
0.666 0.069
0.668 0.068
0.670 0.068
0.673 0.068
0.676 0.069
0.679 0.069
0.682 0.069
0.685 0.070
0.688 0.071
0.691 0.072
0.694 0.074
0.697 0.077
0.700 0.081
0.702 0.084
0.704 0.086
0.706 0.090
0.708 0.092
0.710 0.096
0.712 0.099
0.714 0.102
0.716 0.106
0.718 0.110
0.720 0.114
0.722 0.118
0.724 0.122
0.726 0.126
0.728 0.131
0.730 0.136
0.732 0.140
0.734 0.145
0.736 0.149
0.738 0.154
0.740 0.157
0.742 0.162
0.744 0.165
0.746 0.169
0.748 0.172
0.750 0.175
0.753 0.178
0.756 0.181
0.759 0.184
0.762 0.185
0.765 0.186
0.768 0.188
0.771 0.189
0.774 0.190
0.777 0.190
0.781 0.190
0.785 0.191
0.789 0.191
0.793 0.192
0.797 0.192
0.801 0.192
0.806 0.193
0.811 0.193
0.817 0.194
0.822 0.194
0.828 0.194
0.835 0.194
0.843 0.195
0.851 0.196
0.859 0.195
0.871 0.195
0.883 0.195
0.894 0.196
0.904 0.195
0.914 0.195
0.924 0.195
0.933 0.194
0.941 0.193
0.949 0.191
0.957 0.189
0.964 0.188
0.970 0.188
0.976 0.187
0.982 0.188
0.988 0.188
0.994 0.188
1.000 0.189
1.006 0.189
1.012 0.190
1.018 0.191
1.024 0.192
1.028 0.192
1.034 0.193
1.038 0.194
1.044 0.194
1.048 0.195
1.054 0.195
1.058 0.195
1.063 0.196
1.069 0.196
1.073 0.195
1.079 0.196
1.083 0.196
1.089 0.196
1.093 0.195
1.099 0.195
1.103 0.194
1.109 0.195
1.113 0.194
1.119 0.194
1.123 0.193
1.129 0.191
1.133 0.189
1.139 0.185
1.143 0.182
1.149 0.179
1.153 0.177
