('0.5to0.6', 'fpfs', 2.3515632317739025e-10, 'line cutoff', 71, 'integral', 126984.98440059999, 'together', 0.0021201538641572181)
('0.51to0.61', 'fpfs', 2.229711414871465e-10, 'line cutoff', 67, 'integral', 103731.3922698, 'together', 0.0015496501651440342)
('0.52to0.62', 'fpfs', 2.0386493964092443e-10, 'line cutoff', 24, 'integral', 112637.18436040002, 'together', 0.00055110654698295903)
('0.53to0.63', 'fpfs', 1.845743750310364e-10, 'line cutoff', 49, 'integral', 94000.592837999997, 'together', 0.00085015493310541758)
('0.54to0.64', 'fpfs', 1.7734819809555603e-10, 'line cutoff', 81, 'integral', 63727.250034200013, 'together', 0.00091545495001517699)
('0.55to0.65', 'fpfs', 1.7226877491376933e-10, 'line cutoff', 69, 'integral', 63793.121354800009, 'together', 0.00075827983759646023)
('0.56to0.66', 'fpfs', 1.6828703626697943e-10, 'line cutoff', 66, 'integral', 47544.121056800002, 'together', 0.00052806990882144599)
('0.57to0.67', 'fpfs', 1.5614274708675186e-10, 'line cutoff', 43, 'integral', 37605.169738999997, 'together', 0.0002524863038315752)
('0.58to0.68', 'fpfs', 1.5355866248273992e-10, 'line cutoff', 78, 'integral', 33879.795781200002, 'together', 0.00040579781777725689)
('0.59to0.69', 'fpfs', 1.5059652950044177e-10, 'line cutoff', 33, 'integral', 81154.883079100007, 'together', 0.00040331424354297734)
('0.6to0.7', 'fpfs', 1.4887729228474206e-10, 'line cutoff', 72, 'integral', 42759.445018399987, 'together', 0.00045834554836351386)
('0.61to0.71', 'fpfs', 1.4677096012807159e-10, 'line cutoff', 56, 'integral', 32234.892931799994, 'together', 0.0002649441863726489)
('0.62to0.72', 'fpfs', 1.4623741950903141e-10, 'line cutoff', 55, 'integral', 67461.664141300003, 'together', 0.00054259808238947679)
('0.63to0.73', 'fpfs', 1.4506011817693943e-10, 'line cutoff', 31, 'integral', 70823.302315000008, 'together', 0.0003184827347083453)
('0.64to0.74', 'fpfs', 1.3777233696004969e-10, 'line cutoff', 27, 'integral', 33933.805276799998, 'together', 0.00012622877068316405)
('0.65to0.75', 'fpfs', 1.2887831034709865e-10, 'line cutoff', 47, 'integral', 23529.394791899998, 'together', 0.00014252414628068507)
('0.66to0.76', 'fpfs', 1.2354573152186752e-10, 'line cutoff', 50, 'integral', 47293.006577660002, 'together', 0.00029214245467527487)
('0.67to0.77', 'fpfs', 1.2173719005271641e-10, 'line cutoff', 52, 'integral', 25957.501487900001, 'together', 0.00016431965118015985)
('0.68to0.78', 'fpfs', 1.1633196345913177e-10, 'line cutoff', 60, 'integral', 20334.574385799999, 'together', 0.00014193365786435293)
('0.69to0.79', 'fpfs', 1.1070262091383451e-10, 'line cutoff', 30, 'integral', 21167.9105323, 'together', 7.0300295255855153e-05)
('0.7to0.8', 'fpfs', 1.0540205330325954e-10, 'line cutoff', 37, 'integral', 18993.048179919999, 'together', 7.4070532236098253e-05)
('0.71to0.81', 'fpfs', 9.7550642022719159e-11, 'line cutoff', 49, 'integral', 13963.189008999998, 'together', 6.6743784573113747e-05)
('0.72to0.82', 'fpfs', 9.4465943124233483e-11, 'line cutoff', 24, 'integral', 18255.960598399997, 'together', 4.1389596853600844e-05)
('0.73to0.83', 'fpfs', 9.6052158521356184e-11, 'line cutoff', 56, 'integral', 18088.883008639998, 'together', 9.729867046032871e-05)
('0.74to0.84', 'fpfs', 9.4513240898463278e-11, 'line cutoff', 61, 'integral', 13657.7862972, 'together', 7.8741340433266657e-05)
('0.75to0.85', 'fpfs', 9.2240172242797781e-11, 'line cutoff', 86, 'integral', 9371.923266400001, 'together', 7.434423220515573e-05)
('0.76to0.86', 'fpfs', 8.9825089438821606e-11, 'line cutoff', 87, 'integral', 20480.854372009999, 'together', 0.00016005342809018725)
('0.77to0.87', 'fpfs', 8.9492929677624985e-11, 'line cutoff', 48, 'integral', 17592.068656800002, 'together', 7.5569556632973758e-05)
('0.78to0.88', 'fpfs', 8.6960416026899433e-11, 'line cutoff', 95, 'integral', 13423.4387929, 'together', 0.00011089424308450944)
('0.79to0.89', 'fpfs', 8.3323396677088159e-11, 'line cutoff', 50, 'integral', 24650.730522640002, 'together', 0.00010269912988589689)
('0.8to0.9', 'fpfs', 7.8424982303054257e-11, 'line cutoff', 28, 'integral', 20865.605606440004, 'together', 4.5818773011971878e-05)
('0.81to0.91', 'fpfs', 7.1321389709591007e-11, 'line cutoff', 48, 'integral', 12103.300598169999, 'together', 4.1434762499251608e-05)
('0.82to0.92', 'fpfs', 6.3786709047799252e-11, 'line cutoff', 61, 'integral', 7950.2642468899994, 'together', 3.0934392734539089e-05)
('0.83to0.93', 'fpfs', 5.7199522426917261e-11, 'line cutoff', 44, 'integral', 9160.5803301600008, 'together', 2.3055156081696821e-05)
('0.84to0.94', 'fpfs', 4.9303600090094933e-11, 'line cutoff', 61, 'integral', 9105.8701582400008, 'together', 2.7386083026005862e-05)
('0.85to0.95', 'fpfs', 4.0290084879905474e-11, 'line cutoff', 41, 'integral', 7282.8738711099986, 'together', 1.2030531863903371e-05)
('0.86to0.96', 'fpfs', 3.5356659469666281e-11, 'line cutoff', 32, 'integral', 6528.2431431280002, 'together', 7.3861398318963384e-06)
('0.87to0.97', 'fpfs', 2.9741437548536352e-11, 'line cutoff', 65, 'integral', 5091.316846669999, 'together', 9.8425003322780412e-06)
('0.88to0.98', 'fpfs', 2.6353217767366967e-11, 'line cutoff', 63, 'integral', 5249.0210651779998, 'together', 8.7147014973563379e-06)
('0.89to0.99', 'fpfs', 2.6246581485490526e-11, 'line cutoff', 55, 'integral', 7578.5895133000004, 'together', 1.0940163696325186e-05)
('0.9to1.0', 'fpfs', 2.6190789608555951e-11, 'line cutoff', 49, 'integral', 7370.605686545, 'together', 9.4590571583723841e-06)
('0.91to1.01', 'fpfs', 2.2057986496963792e-11, 'line cutoff', 57, 'integral', 5255.3791017699996, 'together', 6.6076156320062969e-06)
('0.92to1.02', 'fpfs', 1.9083824575394357e-11, 'line cutoff', 51, 'integral', 2742.1799931999999, 'together', 2.6688953791636292e-06)
('0.93to1.03', 'fpfs', 1.8451784135821745e-11, 'line cutoff', 40, 'integral', 4344.2474056499996, 'together', 3.2063646144662977e-06)
('0.94to1.04', 'fpfs', 1.9665346020161452e-11, 'line cutoff', 29, 'integral', 5673.0782636000004, 'together', 3.2353283645413707e-06)
('0.95to1.05', 'fpfs', 2.0551182196021898e-11, 'line cutoff', 33, 'integral', 3115.95043472, 'together', 2.1132033482242437e-06)
('0.96to1.06', 'fpfs', 2.1947504620258448e-11, 'line cutoff', 14, 'integral', 6240.5993235499991, 'together', 1.9175181548151348e-06)
('0.97to1.07', 'fpfs', 2.0381996912878101e-11, 'line cutoff', 5, 'integral', 4912.6398471700004, 'together', 5.006470509955045e-07)
('0.98to1.08', 'fpfs', 3.1068511265767795e-11, 'line cutoff', 4, 'integral', 5004.0909548099999, 'together', 6.2187862481776477e-07)
('0.99to1.09', 'fpfs', 5.2066173659410595e-11, 'line cutoff', 18, 'integral', 3074.2572460900001, 'together', 2.8811666096752199e-06)
('1.0to1.1', 'fpfs', 5.4332016390535085e-11, 'line cutoff', 23, 'integral', 3831.8478588769999, 'together', 4.7884164755144644e-06)
('1.01to1.11', 'fpfs', 5.4740229876113354e-11, 'line cutoff', 24, 'integral', 5174.4369969099998, 'together', 6.7979968965676566e-06)
('1.02to1.12', 'fpfs', 5.5167389112791673e-11, 'line cutoff', 25, 'integral', 7153.3104020339997, 'together', 9.8657364598397464e-06)
('1.03to1.13', 'fpfs', 5.5483954488765178e-11, 'line cutoff', 22, 'integral', 6620.3030120475996, 'together', 8.0810530024902491e-06)
('1.04to1.14', 'fpfs', 5.526033575948813e-11, 'line cutoff', 15, 'integral', 5695.9391899619995, 'together', 4.7213926815439038e-06)
('1.05to1.15', 'fpfs', 4.7487237016475664e-11, 'line cutoff', 15, 'integral', 4794.0671464090401, 'together', 3.4148550428163783e-06)
('1.06to1.16', 'fpfs', 1.9420931075116123e-11, 'line cutoff', 4, 'integral', 3793.0686906176006, 'together', 2.9465970241466154e-07)
('1.07to1.17', 'fpfs', 2.6003077221031046e-12, 'line cutoff', 7, 'integral', 2846.0691184652001, 'together', 5.1804588544689646e-08)
('1.08to1.18', 'fpfs', 1.0391420670118521e-12, 'line cutoff', 19, 'integral', 1855.8186234340994, 'together', 3.6640724806733603e-08)
('1.09to1.19', 'fpfs', 6.9990716975912377e-13, 'line cutoff', 27, 'integral', 1061.5228770874003, 'together', 2.0060121758493723e-08)
('1.1to1.2', 'fpfs', 6.1548076644519346e-13, 'line cutoff', 11, 'integral', 1042.6107468740001, 'together', 7.0587754774900574e-09)
('1.11to1.21', 'fpfs', 5.864109849501584e-13, 'line cutoff', 19, 'integral', 840.82654168180011, 'together', 9.368328489117336e-09)
('1.12to1.22', 'fpfs', 5.4464322398366749e-13, 'line cutoff', 21, 'integral', 826.20063500000003, 'together', 9.4496761275788199e-09)
('1.13to1.23', 'fpfs', 5.9924344730026267e-13, 'line cutoff', 15, 'integral', 2440.2950203987002, 'together', 2.193496200680073e-08)
('1.14to1.24', 'fpfs', 8.3631594313874866e-13, 'line cutoff', 25, 'integral', 3699.7350228324999, 'together', 7.7353684624590539e-08)
('1.15to1.25', 'fpfs', 3.7517904590104699e-12, 'line cutoff', 11, 'integral', 3655.59680799339, 'together', 1.5086536548840602e-07)
('1.16to1.26', 'fpfs', 8.6937885182592485e-12, 'line cutoff', 11, 'integral', 2211.57636176592, 'together', 2.1149674899291528e-07)
('1.17to1.27', 'fpfs', 1.9342071618329516e-11, 'line cutoff', 35, 'integral', 1116.2710050024998, 'together', 7.5568478034780557e-07)
('1.18to1.28', 'fpfs', 3.0701149637605691e-11, 'line cutoff', 16, 'integral', 1967.6531961825999, 'together', 9.6654744337464164e-07)
('1.19to1.29', 'fpfs', 3.8378194298331159e-11, 'line cutoff', 31, 'integral', 1270.4580835959998, 'together', 1.5114945025841146e-06)
('1.2to1.3', 'fpfs', 4.1131685725208935e-11, 'line cutoff', 23, 'integral', 1304.8719759690002, 'together', 1.2344464326253539e-06)
('1.21to1.31', 'fpfs', 4.1557031180579171e-11, 'line cutoff', 23, 'integral', 2464.4257540099998, 'together', 2.3555270117371651e-06)
('1.22to1.32', 'fpfs', 4.1577505562603903e-11, 'line cutoff', 19, 'integral', 2627.9436147859997, 'together', 2.0760034649775116e-06)
('1.23to1.33', 'fpfs', 4.1734699953529568e-11, 'line cutoff', 17, 'integral', 2602.3358850320001, 'together', 1.8463310247819269e-06)
('1.24to1.34', 'fpfs', 3.8855597049067133e-11, 'line cutoff', 14, 'integral', 2173.4004980886398, 'together', 1.1822828357196358e-06)
('1.25to1.35', 'fpfs', 3.3852543921850774e-11, 'line cutoff', 10, 'integral', 1773.3714284309401, 'together', 6.0033134170713653e-07)
('1.26to1.36', 'fpfs', 1.187399252587498e-11, 'line cutoff', 5, 'integral', 1416.5617457639419, 'together', 8.4101217908207294e-08)
('1.27to1.37', 'fpfs', 4.5647998186109313e-12, 'line cutoff', 15, 'integral', 1140.2216742882001, 'together', 7.8073255379505421e-08)
('1.28to1.38', 'fpfs', 1.1827632702617895e-12, 'line cutoff', 8, 'integral', 735.78970547291533, 'together', 6.9621203061608338e-09)
('1.29to1.39', 'fpfs', 3.9329005699233065e-13, 'line cutoff', 8, 'integral', 712.04923550000001, 'together', 2.2403350752891238e-09)
('1.3to1.4', 'fpfs', 1.9465049294150013e-13, 'line cutoff', 13, 'integral', 707.92548450000004, 'together', 1.791374578809079e-09)
('1.31to1.41', 'fpfs', 9.9946919448187927e-14, 'line cutoff', 17, 'integral', 700.91943349999997, 'together', 1.1909305487147982e-09)
('1.32to1.42', 'fpfs', 8.5328966924472744e-14, 'line cutoff', 28, 'integral', 695.13347649999992, 'together', 1.6608205998821427e-09)
('1.33to1.43', 'fpfs', 8.4823101030720492e-14, 'line cutoff', 19, 'integral', 689.16612900000007, 'together', 1.1106869555552336e-09)
