('0.5to0.55', 'fpfs', 2.7572129042973632e-10, 'line cutoff', 18, 'integral', 8022.7705679999981, 'together', 3.981687576895202e-05)
('0.5to0.55', 'fpfs', 2.7572129042973632e-10, 'line cutoff', 18, 'integral', 8022.7705679999981, 'together', 3.981687576895202e-05)
('0.5to0.55', 'fpfs', 2.7572129042973632e-10, 'line cutoff', 18, 'integral', 8022.7705679999981, 'together', 3.981687576895202e-05)
('0.55to0.6', 'fpfs', 1.8519004746608243e-10, 'line cutoff', 10, 'integral', 3004.5895669999986, 'together', 5.5642008452882576e-06)
('0.6to0.65', 'fpfs', 1.5416452733525051e-10, 'line cutoff', 13, 'integral', 2085.4361250000002, 'together', 4.1795035684802581e-06)
('0.65to0.7', 'fpfs', 1.4611637156185521e-10, 'line cutoff', 6, 'integral', 1377.5857192000005, 'together', 1.2077269608295968e-06)
('0.7to0.75', 'fpfs', 1.1925269015894096e-10, 'line cutoff', 6, 'integral', 927.40732050000042, 'together', 6.6357490705632125e-07)
('0.75to0.8', 'fpfs', 9.8284866654342658e-11, 'line cutoff', 2, 'integral', 410.07827488999965, 'together', 8.0608977130812976e-08)
('0.8to0.85', 'fpfs', 8.6281758969019242e-11, 'line cutoff', 9, 'integral', 97.108161100000018, 'together', 7.5407966549594024e-08)
('0.85to0.9', 'fpfs', 4.6385306698920273e-11, 'line cutoff', 2, 'integral', 310.30298370000003, 'together', 2.878699813702912e-08)
('0.9to0.95', 'fpfs', 4.4897165630369148e-11, 'line cutoff', 2, 'integral', 114.15559700000004, 'together', 1.0250525492285346e-08)
('0.95to1.0', 'fpfs', 2.207748227667182e-11, 'line cutoff', 2, 'integral', 74.580777616999995, 'together', 3.2931115920394397e-09)
('1.0to1.05', 'fpfs', 2.9080776047145815e-11, 'line cutoff', 2, 'integral', 36.219127199999996, 'together', 2.1065606534525745e-09)
('1.05to1.1', 'fpfs', 6.1433415252361859e-11, 'line cutoff', 1, 'integral', 34.491795499999995, 'together', 2.1189487957510458e-09)
('1.1to1.15', 'fpfs', 1.0369191697252545e-12, 'line cutoff', 1, 'integral', 10.279365500000001, 'together', 1.0658871139562426e-11)
('1.15to1.2', 'fpfs', 2.2398324072721264e-13, 'line cutoff', 1, 'integral', 6.2698594640000014, 'together', 1.4043434416509048e-12)
('1.2to1.25', 'fpfs', 2.8789645834893235e-11, 'line cutoff', 1, 'integral', 6.3867435600000011, 'together', 1.8387208513068522e-10)
('0.5to0.55', 'fpfs', 2.7572129042973632e-10, 'line cutoff', 17, 'integral', 9397.8018250000005, 'together', 4.4049958788662828e-05)
('0.55to0.6', 'fpfs', 1.8519004746608243e-10, 'line cutoff', 7, 'integral', 3895.8862499999996, 'together', 5.0503555169197049e-06)
('0.6to0.65', 'fpfs', 1.5416452733525051e-10, 'line cutoff', 14, 'integral', 2593.7104750000008, 'together', 5.5980140919200853e-06)
('0.65to0.7', 'fpfs', 1.4611637156185521e-10, 'line cutoff', 7, 'integral', 1831.1807050000002, 'together', 1.87295836202076e-06)
('0.7to0.75', 'fpfs', 1.1925269015894096e-10, 'line cutoff', 7, 'integral', 1072.7958775000002, 'together', 8.9553656068307691e-07)
('0.75to0.8', 'fpfs', 9.8284866654342658e-11, 'line cutoff', 4, 'integral', 927.16445899999997, 'together', 3.6450494087784296e-07)
('0.8to0.85', 'fpfs', 8.6281758969019242e-11, 'line cutoff', 11, 'integral', 159.82454749999999, 'together', 1.5168937393200325e-07)
('0.85to0.9', 'fpfs', 4.6385306698920273e-11, 'line cutoff', 3, 'integral', 581.52938949999998, 'together', 8.09232572591801e-08)
('0.9to0.95', 'fpfs', 4.4897165630369148e-11, 'line cutoff', 2, 'integral', 273.7724475, 'together', 2.4583213840878082e-08)
('0.95to1.0', 'fpfs', 2.207748227667182e-11, 'line cutoff', 1, 'integral', 208.91140572499998, 'together', 4.6122378572882825e-09)
('1.0to1.05', 'fpfs', 2.9080776047145815e-11, 'line cutoff', 1, 'integral', 215.75272749999996, 'together', 6.2742567499883769e-09)
('1.05to1.1', 'fpfs', 6.1433415252361859e-11, 'line cutoff', 3, 'integral', 80.593640000000008, 'together', 1.4853427658458083e-08)
('1.1to1.15', 'fpfs', 1.0369191697252545e-12, 'line cutoff', 3, 'integral', 42.248495337500003, 'together', 1.3142482412250536e-10)
('1.15to1.2', 'fpfs', 2.2398324072721264e-13, 'line cutoff', 2, 'integral', 35.228497999999995, 'together', 1.5781186295984257e-11)
('1.2to1.25', 'fpfs', 2.8789645834893235e-11, 'line cutoff', 2, 'integral', 90.095521749999975, 'together', 5.1876363249848396e-09)
('1.25to1.3', 'fpfs', 4.6292076971945995e-11, 'line cutoff', 2, 'integral', 29.309188999999996, 'together', 2.7135664663466253e-09)
('1.3to1.35', 'fpfs', 3.503420253120333e-12, 'line cutoff', 2, 'integral', 26.492698000000001, 'together', 1.8563010946600108e-10)
('1.35to1.4', 'fpfs', 6.6065345289906258e-14, 'line cutoff', 2, 'integral', 24.737781500000001, 'together', 3.2686201530075103e-12)
('1.4to1.45', 'fpfs', 1.132929715348607e-13, 'line cutoff', 2, 'integral', 22.787478999999998, 'together', 5.163322419396471e-12)
('1.45to1.5', 'fpfs', 2.2270497466825806e-12, 'line cutoff', 2, 'integral', 20.644435500000004, 'together', 9.1952369701359766e-11)
('1.5to1.55', 'fpfs', 2.826216353784633e-11, 'line cutoff', 2, 'integral', 19.807977500000003, 'together', 1.1196325989179611e-09)
('1.55to1.6', 'fpfs', 2.9308771451514309e-11, 'line cutoff', 2, 'integral', 17.321847000000002, 'together', 1.0153641096821976e-09)
('1.6to1.65', 'fpfs', 3.4120997070926316e-13, 'line cutoff', 2, 'integral', 16.245246000000002, 'together', 1.108607982364955e-11)
('1.65to1.7', 'fpfs', 6.4436033562706148e-14, 'line cutoff', 2, 'integral', 15.069230500000002, 'together', 1.9420028845243107e-12)
