('0.5to0.52', 'fpfs', 1.4199161406481472e-07, 'line cutoff', 63, 'integral', 2944.0335279999999, 'together', 0.026335768567604008)
('0.5to0.52', 'fpfs', 1.4199161406481472e-07, 'line cutoff', 63, 'integral', 2944.0335279999999, 'together', 0.026335768567604008)
('0.52to0.54', 'fpfs', 1.2295743839905062e-07, 'line cutoff', 5, 'integral', 2941.9575224, 'together', 0.0018086778041656081)
('0.54to0.56', 'fpfs', 1.0872714649021412e-07, 'line cutoff', 41, 'integral', 2943.5451476500002, 'together', 0.013121773843233122)
('0.56to0.58', 'fpfs', 9.0205143924580702e-08, 'line cutoff', 25, 'integral', 2947.4828596000002, 'together', 0.0066469528891363178)
('0.58to0.6', 'fpfs', 8.4697427359559035e-08, 'line cutoff', 138, 'integral', 2950.1110150499999, 'together', 0.034481620249176864)
('0.6to0.62', 'fpfs', 7.8613090009963873e-08, 'line cutoff', 4, 'integral', 2947.0439838000002, 'together', 0.00092670493584716775)
('0.62to0.64', 'fpfs', 7.1064375728350625e-08, 'line cutoff', 39, 'integral', 2948.5788809999999, 'together', 0.0081720177810984812)
('0.64to0.66', 'fpfs', 7.1679849028964661e-08, 'line cutoff', 149, 'integral', 2956.4272656999997, 'together', 0.031575522750503127)
('0.66to0.68', 'fpfs', 6.8726750361984014e-08, 'line cutoff', 40, 'integral', 2957.0734234500001, 'together', 0.0081292018790202238)
('0.68to0.7', 'fpfs', 6.351260451781607e-08, 'line cutoff', 99, 'integral', 2952.9685295999998, 'together', 0.018567521515030123)
('0.7to0.72', 'fpfs', 6.0117576057502823e-08, 'line cutoff', 67, 'integral', 2958.3421055500003, 'together', 0.011915839887812515)
('0.72to0.74', 'fpfs', 3.8999181191367565e-08, 'line cutoff', 58, 'integral', 2955.54104465, 'together', 0.00668529348169209)
('0.74to0.76', 'fpfs', 5.7448609289589141e-08, 'line cutoff', 8, 'integral', 2962.3015406999998, 'together', 0.0013614408304769778)
('0.76to0.78', 'fpfs', 5.0668634155046533e-08, 'line cutoff', 36, 'integral', 2956.6252087499997, 'together', 0.0053930937972867061)
('0.78to0.8', 'fpfs', 4.4687985318743191e-08, 'line cutoff', 103, 'integral', 2922.3770362, 'together', 0.013451299635222397)
('0.8to0.82', 'fpfs', 4.3828514718018274e-08, 'line cutoff', 100, 'integral', 2963.4935126999999, 'together', 0.012988551903812363)
('0.82to0.84', 'fpfs', 4.3277332651536913e-08, 'line cutoff', 149, 'integral', 2969.5550389, 'together', 0.019148648765582917)
('0.84to0.86', 'fpfs', 4.1744022787779082e-08, 'line cutoff', 36, 'integral', 2965.5787257500001, 'together', 0.0044566266926397901)
('0.86to0.88', 'fpfs', 2.7627592109489001e-08, 'line cutoff', 96, 'integral', 2930.4473200500001, 'together', 0.0077722755126419111)
('0.88to0.9', 'fpfs', 8.311315994874232e-09, 'line cutoff', 242, 'integral', 2959.0927450999998, 'together', 0.0059517370767651545)
('0.9to0.92', 'fpfs', 2.4303034846720386e-08, 'line cutoff', 186, 'integral', 2971.9025387000002, 'together', 0.013434082678389416)
('0.92to0.94', 'fpfs', 1.7038007744744794e-08, 'line cutoff', 85, 'integral', 2962.8681218000002, 'together', 0.0042909164505002982)
('0.94to0.96', 'fpfs', 1.1157988757506944e-08, 'line cutoff', 106, 'integral', 2972.45886935, 'together', 0.003515666240514065)
('0.96to0.98', 'fpfs', 1.1459875774734716e-08, 'line cutoff', 101, 'integral', 2959.3650097999998, 'together', 0.003425309493824863)
('0.98to1.0', 'fpfs', 4.5636606991761568e-09, 'line cutoff', 12, 'integral', 2966.8379679, 'together', 0.00016247570201914657)
('1.0to1.02', 'fpfs', 2.6364229534872553e-09, 'line cutoff', 11, 'integral', 2979.4746129999999, 'together', 8.6406707849503322e-05)
('1.02to1.04', 'fpfs', 2.1576848717862295e-08, 'line cutoff', 28, 'integral', 2933.7113245, 'together', 0.0017724068720572459)
('1.04to1.06', 'fpfs', 3.17696278520535e-08, 'line cutoff', 97, 'integral', 2979.9230049999996, 'together', 0.0091830913549724256)
('1.06to1.08', 'fpfs', 3.1754064323469933e-08, 'line cutoff', 92, 'integral', 2958.5662965000001, 'together', 0.0086430784125566332)
